Gene ID	Gene name	Cohort	Count
ENSG00000115760	BIRC6	TCGA-COAD	33
ENSG00000109906	ZBTB16	TCGA-PRAD	33
ENSG00000105568	PPP2R1A	TCGA-UCEC	33
ENSG00000097007	ABL1	TCGA-UCEC	33
ENSG00000085276	MECOM	TCGA-UCEC	33
ENSG00000083857	FAT1	TCGA-UCEC	33
ENSG00000055609	KMT2C	TCGA-CESC	33
ENSG00000051382	PIK3CB	TCGA-BLCA	33
ENSG00000029363	BCLAF1	TCGA-STAD	33
ENSG00000213281	NRAS	TCGA-PRAD	32
ENSG00000198157	HMGN5	TCGA-SARC	32
ENSG00000196712	NF1	TCGA-LGG	32
ENSG00000196498	NCOR2	TCGA-COAD	32
ENSG00000174775	HRAS	TCGA-HNSC	32
ENSG00000173674	EIF1AX	TCGA-UVM	32
ENSG00000171681	ATF7IP	TCGA-UCEC	32
ENSG00000168036	CTNNB1	TCGA-STAD	32
ENSG00000146648	EGFR	TCGA-COAD	32
ENSG00000145675	PIK3R1	TCGA-HNSC	32
ENSG00000140538	NTRK3	TCGA-STAD	32
ENSG00000140396	NCOA2	TCGA-LUSC	32
ENSG00000134982	APC	TCGA-COAD	32
ENSG00000132155	RAF1	TCGA-SKCM	32
ENSG00000131023	LATS1	TCGA-OV	32
ENSG00000127329	PTPRB	TCGA-OV	32
ENSG00000121989	ACVR2A	TCGA-UCEC	32
ENSG00000105568	PPP2R1A	TCGA-UVM	32
ENSG00000102699	PARP4	TCGA-COAD	32
ENSG00000101333	PLCB4	TCGA-UVM	32
ENSG00000100345	MYH9	TCGA-STAD	32
ENSG00000085185	BCORL1	TCGA-SARC	32
ENSG00000005889	ZFX	TCGA-SKCM	32
ENSG00000196498	NCOR2	TCGA-PRAD	31
ENSG00000185920	PTCH1	TCGA-SARC	31
ENSG00000174775	HRAS	TCGA-BLCA	31
ENSG00000168769	TET2	TCGA-SARC	31
ENSG00000166501	PRKCB	TCGA-SKCM	31
ENSG00000157764	BRAF	TCGA-OV	31
ENSG00000148737	TCF7L2	TCGA-UCEC	31
ENSG00000142208	AKT1	TCGA-CESC	31
ENSG00000139618	BRCA2	TCGA-COAD	31
ENSG00000139263	LRIG3	TCGA-BLCA	31
ENSG00000133392	MYH11	TCGA-PRAD	31
ENSG00000129204	USP6	TCGA-COAD	31
ENSG00000127616	SMARCA4	TCGA-BLCA	31
ENSG00000125952	MAX	TCGA-UCEC	31
ENSG00000121879	PIK3CA	TCGA-SARC	31
ENSG00000120063	GNA13	TCGA-BLCA	31
